Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sat Nov 14 00:42:13 PST 2020,RunF20A5Tests.java,1605343333747,17731,0,(I)2(R)1(I)2(R)1(I)1(F)2(I)10,0.7894736842105263,0.0,0.0,10.526315789473683,0.0,0.0,1.1176470588235294,0.0,0.0,0.11764705882352941,0.0,0.11764705882352941,0.8823529411764706,0.0,[]
,/modelData/A0UserStudy2010.arff,Sat Nov 14 00:42:13 PST 2020,RunF20A5Tests.java, 1605343333747
2,,Sat Nov 14 00:42:31 PST 2020,RunF20A5Tests.java,1605343351565,8570,8570,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,3.125,0.0,[]
4,,Sat Nov 14 00:42:58 PST 2020,MainClassRegistry.java,1605343378157,46360,0,(I)2(D)2(R)1(D)6(I)3(F)2(I)1,0.35294117647058826,47.05882352941176,0.0,11.76470588235294,0.0,0.0,0.3695652173913043,0.0,0.17391304347826086,0.043478260869565216,0.0,0.021739130434782608,0.13043478260869565,0.0,[]
5,,Sat Nov 14 00:43:44 PST 2020,MainClassRegistry.java,1605343424703,11373,0,(I)6(R)2(I)1(F)2(I)13,0.8333333333333334,0.0,0.0,8.333333333333332,0.0,0.0,2.1818181818181817,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,1.8181818181818181,0.0,[]
6,,Sat Nov 14 00:43:56 PST 2020,MainClassRegistry.java,1605343436078,57,57,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
7,,Sat Nov 14 00:43:56 PST 2020,MainClassRegistry.java,1605343436136,54,54,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
8,,Sat Nov 14 00:43:56 PST 2020,MainClassRegistry.java,1605343436192,65,65,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
9,,Sat Nov 14 00:43:56 PST 2020,MainClassRegistry.java,1605343436260,69,69,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
10,,Sat Nov 14 00:43:56 PST 2020,MainClassRegistry.java,1605343436332,65,65,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
